,alpha,mass,folder_path,model_name
43,1.2,24.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_24.3,stir2_14may19_s24.3_alpha1.2
44,1.2,24.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_24.4,stir2_14may19_s24.4_alpha1.2
45,1.2,24.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_24.5,stir2_14may19_s24.5_alpha1.2
46,1.2,24.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_24.6,stir2_14may19_s24.6_alpha1.2
47,1.2,24.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_24.7,stir2_14may19_s24.7_alpha1.2
48,1.2,24.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_24.8,stir2_14may19_s24.8_alpha1.2
49,1.2,24.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_24.9,stir2_14may19_s24.9_alpha1.2
50,1.2,25.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_25.0,stir2_14may19_s25.0_alpha1.2
51,1.2,25.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_25.1,stir2_14may19_s25.1_alpha1.2
52,1.2,25.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_25.2,stir2_14may19_s25.2_alpha1.2
53,1.2,25.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_25.3,stir2_14may19_s25.3_alpha1.2
54,1.2,25.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_25.4,stir2_14may19_s25.4_alpha1.2
55,1.2,25.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_25.5,stir2_14may19_s25.5_alpha1.2
56,1.2,25.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_25.6,stir2_14may19_s25.6_alpha1.2
57,1.2,25.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_25.7,stir2_14may19_s25.7_alpha1.2
58,1.2,25.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_25.8,stir2_14may19_s25.8_alpha1.2
59,1.2,25.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_25.9,stir2_14may19_s25.9_alpha1.2
60,1.2,26.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_26.0,stir2_14may19_s26.0_alpha1.2
61,1.2,26.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_26.1,stir2_14may19_s26.1_alpha1.2
62,1.2,26.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_26.2,stir2_14may19_s26.2_alpha1.2
63,1.2,26.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_26.3,stir2_14may19_s26.3_alpha1.2
64,1.2,26.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_26.4,stir2_14may19_s26.4_alpha1.2
65,1.2,26.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_26.5,stir2_14may19_s26.5_alpha1.2
66,1.2,26.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_26.6,stir2_14may19_s26.6_alpha1.2
67,1.2,26.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_26.7,stir2_14may19_s26.7_alpha1.2
68,1.2,26.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_26.8,stir2_14may19_s26.8_alpha1.2
69,1.2,26.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_26.9,stir2_14may19_s26.9_alpha1.2
70,1.2,27.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_27.0,stir2_14may19_s27.0_alpha1.2
71,1.2,27.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_27.1,stir2_14may19_s27.1_alpha1.2
72,1.2,27.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_27.2,stir2_14may19_s27.2_alpha1.2
73,1.2,27.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_27.3,stir2_14may19_s27.3_alpha1.2
74,1.2,27.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_27.4,stir2_14may19_s27.4_alpha1.2
75,1.2,27.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_27.5,stir2_14may19_s27.5_alpha1.2
76,1.2,27.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_27.8,stir2_14may19_s27.8_alpha1.2
77,1.2,33,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_33,stir2_14may19_s33_alpha1.2
78,1.2,35,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_35,stir2_14may19_s35_alpha1.2
79,1.2,40,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_40,stir2_14may19_s40_alpha1.2
80,1.2,45,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_45,stir2_14may19_s45_alpha1.2
81,1.2,70,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_70,stir2_14may19_s70_alpha1.2
