,alpha,mass,folder_path,model_name
183,1.23,27.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_27.0,stir2_14may19_s27.0_alpha1.23
184,1.23,27.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_27.1,stir2_14may19_s27.1_alpha1.23
185,1.23,27.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_27.2,stir2_14may19_s27.2_alpha1.23
186,1.23,27.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_27.3,stir2_14may19_s27.3_alpha1.23
187,1.23,27.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_27.4,stir2_14may19_s27.4_alpha1.23
188,1.23,27.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_27.5,stir2_14may19_s27.5_alpha1.23
189,1.23,27.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_27.6,stir2_14may19_s27.6_alpha1.23
190,1.23,27.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_27.8,stir2_14may19_s27.8_alpha1.23
191,1.23,28.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_28.5,stir2_14may19_s28.5_alpha1.23
192,1.23,28.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_28.6,stir2_14may19_s28.6_alpha1.23
193,1.23,28.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_28.7,stir2_14may19_s28.7_alpha1.23
194,1.23,28.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_28.8,stir2_14may19_s28.8_alpha1.23
195,1.23,28.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_28.9,stir2_14may19_s28.9_alpha1.23
196,1.23,29.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_29.0,stir2_14may19_s29.0_alpha1.23
197,1.23,29.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_29.1,stir2_14may19_s29.1_alpha1.23
198,1.23,29.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_29.2,stir2_14may19_s29.2_alpha1.23
199,1.23,29.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_29.3,stir2_14may19_s29.3_alpha1.23
200,1.23,29.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_29.4,stir2_14may19_s29.4_alpha1.23
201,1.23,29.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_29.5,stir2_14may19_s29.5_alpha1.23
202,1.23,29.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_29.6,stir2_14may19_s29.6_alpha1.23
203,1.23,29.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_29.7,stir2_14may19_s29.7_alpha1.23
204,1.23,29.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_29.8,stir2_14may19_s29.8_alpha1.23
205,1.23,29.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_29.9,stir2_14may19_s29.9_alpha1.23
206,1.23,30.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_30.0,stir2_14may19_s30.0_alpha1.23
207,1.23,31,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_31,stir2_14may19_s31_alpha1.23
208,1.23,32,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_32,stir2_14may19_s32_alpha1.23
209,1.23,33,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_33,stir2_14may19_s33_alpha1.23
210,1.23,35,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_35,stir2_14may19_s35_alpha1.23
211,1.23,40,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_40,stir2_14may19_s40_alpha1.23
212,1.23,45,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_45,stir2_14may19_s45_alpha1.23
213,1.23,50,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_50,stir2_14may19_s50_alpha1.23
214,1.23,55,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_55,stir2_14may19_s55_alpha1.23
215,1.23,60,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_60,stir2_14may19_s60_alpha1.23
216,1.23,70,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_70,stir2_14may19_s70_alpha1.23
217,1.23,80,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_80,stir2_14may19_s80_alpha1.23
218,1.25,9.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_9.0,stir2_14may19_s9.0_alpha1.25
219,1.25,9.25,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_9.25,stir2_14may19_s9.25_alpha1.25
220,1.25,9.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_9.5,stir2_14may19_s9.5_alpha1.25
221,1.25,9.75,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_9.75,stir2_14may19_s9.75_alpha1.25
222,1.25,10.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_10.0,stir2_14may19_s10.0_alpha1.25
223,1.25,10.25,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_10.25,stir2_14may19_s10.25_alpha1.25
224,1.25,10.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_10.5,stir2_14may19_s10.5_alpha1.25
225,1.25,10.75,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_10.75,stir2_14may19_s10.75_alpha1.25
226,1.25,11.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_11.0,stir2_14may19_s11.0_alpha1.25
227,1.25,11.25,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_11.25,stir2_14may19_s11.25_alpha1.25
228,1.25,11.75,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_11.75,stir2_14may19_s11.75_alpha1.25
229,1.25,12.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_12.0,stir2_14may19_s12.0_alpha1.25
230,1.25,15.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_15.2,stir2_14may19_s15.2_alpha1.25
231,1.25,15.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_15.7,stir2_14may19_s15.7_alpha1.25
232,1.25,15.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_15.8,stir2_14may19_s15.8_alpha1.25
233,1.25,16.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_16.0,stir2_14may19_s16.0_alpha1.25
234,1.25,16.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_16.1,stir2_14may19_s16.1_alpha1.25
235,1.25,16.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_16.2,stir2_14may19_s16.2_alpha1.25
236,1.25,16.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_16.3,stir2_14may19_s16.3_alpha1.25
237,1.25,16.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_16.4,stir2_14may19_s16.4_alpha1.25
238,1.25,16.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_16.5,stir2_14may19_s16.5_alpha1.25
239,1.25,16.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_16.6,stir2_14may19_s16.6_alpha1.25
240,1.25,16.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_16.7,stir2_14may19_s16.7_alpha1.25
241,1.25,16.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_16.8,stir2_14may19_s16.8_alpha1.25
242,1.25,16.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_16.9,stir2_14may19_s16.9_alpha1.25
243,1.25,17.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_17.0,stir2_14may19_s17.0_alpha1.25
244,1.25,17.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_17.1,stir2_14may19_s17.1_alpha1.25
245,1.25,17.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_17.3,stir2_14may19_s17.3_alpha1.25
246,1.25,17.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_17.4,stir2_14may19_s17.4_alpha1.25
247,1.25,17.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_17.5,stir2_14may19_s17.5_alpha1.25
248,1.25,17.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_17.6,stir2_14may19_s17.6_alpha1.25
249,1.25,17.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_17.7,stir2_14may19_s17.7_alpha1.25
250,1.25,18.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_18.0,stir2_14may19_s18.0_alpha1.25
251,1.25,18.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_18.5,stir2_14may19_s18.5_alpha1.25
252,1.25,18.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_18.6,stir2_14may19_s18.6_alpha1.25
253,1.25,18.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_18.7,stir2_14may19_s18.7_alpha1.25
254,1.25,18.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_18.8,stir2_14may19_s18.8_alpha1.25
255,1.25,18.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_18.9,stir2_14may19_s18.9_alpha1.25
256,1.25,19.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_19.0,stir2_14may19_s19.0_alpha1.25
257,1.25,19.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_19.1,stir2_14may19_s19.1_alpha1.25
258,1.25,19.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_19.2,stir2_14may19_s19.2_alpha1.25
259,1.25,19.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_19.3,stir2_14may19_s19.3_alpha1.25
260,1.25,19.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_19.7,stir2_14may19_s19.7_alpha1.25
261,1.25,19.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_19.8,stir2_14may19_s19.8_alpha1.25
262,1.25,19.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_19.9,stir2_14may19_s19.9_alpha1.25
263,1.25,20.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_20.0,stir2_14may19_s20.0_alpha1.25
264,1.25,20.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_20.1,stir2_14may19_s20.1_alpha1.25
265,1.25,20.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_20.2,stir2_14may19_s20.2_alpha1.25
266,1.25,20.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_20.3,stir2_14may19_s20.3_alpha1.25
267,1.25,20.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_20.4,stir2_14may19_s20.4_alpha1.25
268,1.25,20.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_20.5,stir2_14may19_s20.5_alpha1.25
269,1.25,21.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_21.0,stir2_14may19_s21.0_alpha1.25
270,1.25,21.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_21.1,stir2_14may19_s21.1_alpha1.25
271,1.25,21.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_21.5,stir2_14may19_s21.5_alpha1.25
272,1.25,21.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_21.6,stir2_14may19_s21.6_alpha1.25
273,1.25,21.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_21.7,stir2_14may19_s21.7_alpha1.25
274,1.25,21.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_21.8,stir2_14may19_s21.8_alpha1.25
275,1.25,21.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_21.9,stir2_14may19_s21.9_alpha1.25
276,1.25,22.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_22.0,stir2_14may19_s22.0_alpha1.25
277,1.25,22.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_22.1,stir2_14may19_s22.1_alpha1.25
278,1.25,22.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_22.2,stir2_14may19_s22.2_alpha1.25
279,1.25,22.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_22.3,stir2_14may19_s22.3_alpha1.25
280,1.25,22.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_22.4,stir2_14may19_s22.4_alpha1.25
281,1.25,22.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_22.5,stir2_14may19_s22.5_alpha1.25
282,1.25,22.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_22.6,stir2_14may19_s22.6_alpha1.25
283,1.25,22.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_22.7,stir2_14may19_s22.7_alpha1.25
284,1.25,22.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_22.8,stir2_14may19_s22.8_alpha1.25
285,1.25,22.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_22.9,stir2_14may19_s22.9_alpha1.25
286,1.25,23.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_23.0,stir2_14may19_s23.0_alpha1.25
287,1.25,23.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_23.1,stir2_14may19_s23.1_alpha1.25
288,1.25,23.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_23.2,stir2_14may19_s23.2_alpha1.25
289,1.25,23.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_23.3,stir2_14may19_s23.3_alpha1.25
290,1.25,23.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_23.4,stir2_14may19_s23.4_alpha1.25
291,1.25,23.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_23.5,stir2_14may19_s23.5_alpha1.25
292,1.25,23.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_23.6,stir2_14may19_s23.6_alpha1.25
293,1.25,23.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_23.7,stir2_14may19_s23.7_alpha1.25
294,1.25,23.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_23.8,stir2_14may19_s23.8_alpha1.25
295,1.25,23.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_23.9,stir2_14may19_s23.9_alpha1.25
296,1.25,24.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_24.0,stir2_14may19_s24.0_alpha1.25
297,1.25,24.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_24.1,stir2_14may19_s24.1_alpha1.25
298,1.25,24.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_24.2,stir2_14may19_s24.2_alpha1.25
299,1.25,24.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_24.3,stir2_14may19_s24.3_alpha1.25
300,1.25,24.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_24.4,stir2_14may19_s24.4_alpha1.25
301,1.25,24.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_24.5,stir2_14may19_s24.5_alpha1.25
302,1.25,24.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_24.6,stir2_14may19_s24.6_alpha1.25
303,1.25,24.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_24.7,stir2_14may19_s24.7_alpha1.25
304,1.25,24.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_24.8,stir2_14may19_s24.8_alpha1.25
305,1.25,24.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_24.9,stir2_14may19_s24.9_alpha1.25
306,1.25,25.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_25.0,stir2_14may19_s25.0_alpha1.25
307,1.25,25.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_25.1,stir2_14may19_s25.1_alpha1.25
308,1.25,25.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_25.2,stir2_14may19_s25.2_alpha1.25
309,1.25,25.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_25.3,stir2_14may19_s25.3_alpha1.25
310,1.25,25.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_25.4,stir2_14may19_s25.4_alpha1.25
311,1.25,25.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_25.5,stir2_14may19_s25.5_alpha1.25
312,1.25,25.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_25.6,stir2_14may19_s25.6_alpha1.25
313,1.25,25.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_25.7,stir2_14may19_s25.7_alpha1.25
314,1.25,25.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_25.8,stir2_14may19_s25.8_alpha1.25
315,1.25,25.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_25.9,stir2_14may19_s25.9_alpha1.25
316,1.25,26.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_26.0,stir2_14may19_s26.0_alpha1.25
317,1.25,26.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_26.1,stir2_14may19_s26.1_alpha1.25
318,1.25,26.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_26.2,stir2_14may19_s26.2_alpha1.25
319,1.25,26.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_26.3,stir2_14may19_s26.3_alpha1.25
320,1.25,26.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_26.4,stir2_14may19_s26.4_alpha1.25
321,1.25,26.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_26.5,stir2_14may19_s26.5_alpha1.25
322,1.25,26.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_26.6,stir2_14may19_s26.6_alpha1.25
323,1.25,26.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_26.7,stir2_14may19_s26.7_alpha1.25
324,1.25,26.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_26.8,stir2_14may19_s26.8_alpha1.25
325,1.25,26.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_26.9,stir2_14may19_s26.9_alpha1.25
326,1.25,27.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_27.0,stir2_14may19_s27.0_alpha1.25
327,1.25,27.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_27.1,stir2_14may19_s27.1_alpha1.25
328,1.25,27.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_27.2,stir2_14may19_s27.2_alpha1.25
329,1.25,27.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_27.3,stir2_14may19_s27.3_alpha1.25
330,1.25,27.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_27.4,stir2_14may19_s27.4_alpha1.25
331,1.25,27.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_27.5,stir2_14may19_s27.5_alpha1.25
332,1.25,27.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_27.6,stir2_14may19_s27.6_alpha1.25
333,1.25,27.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_27.8,stir2_14may19_s27.8_alpha1.25
334,1.25,27.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_27.9,stir2_14may19_s27.9_alpha1.25
335,1.25,28.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_28.0,stir2_14may19_s28.0_alpha1.25
336,1.25,28.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_28.1,stir2_14may19_s28.1_alpha1.25
337,1.25,28.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_28.2,stir2_14may19_s28.2_alpha1.25
338,1.25,28.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_28.4,stir2_14may19_s28.4_alpha1.25
339,1.25,28.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_28.5,stir2_14may19_s28.5_alpha1.25
340,1.25,28.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_28.6,stir2_14may19_s28.6_alpha1.25
341,1.25,28.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_28.7,stir2_14may19_s28.7_alpha1.25
342,1.25,28.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_28.8,stir2_14may19_s28.8_alpha1.25
343,1.25,28.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_28.9,stir2_14may19_s28.9_alpha1.25
344,1.25,29.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_29.0,stir2_14may19_s29.0_alpha1.25
345,1.25,29.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_29.1,stir2_14may19_s29.1_alpha1.25
346,1.25,29.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_29.2,stir2_14may19_s29.2_alpha1.25
347,1.25,29.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_29.3,stir2_14may19_s29.3_alpha1.25
348,1.25,29.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_29.4,stir2_14may19_s29.4_alpha1.25
349,1.25,29.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_29.5,stir2_14may19_s29.5_alpha1.25
350,1.25,29.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_29.6,stir2_14may19_s29.6_alpha1.25
351,1.25,29.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_29.7,stir2_14may19_s29.7_alpha1.25
352,1.25,29.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_29.8,stir2_14may19_s29.8_alpha1.25
353,1.25,29.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_29.9,stir2_14may19_s29.9_alpha1.25
354,1.25,30.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_30.0,stir2_14may19_s30.0_alpha1.25
355,1.25,31,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_31,stir2_14may19_s31_alpha1.25
356,1.25,32,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_32,stir2_14may19_s32_alpha1.25
357,1.25,33,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_33,stir2_14may19_s33_alpha1.25
358,1.25,35,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_35,stir2_14may19_s35_alpha1.25
359,1.25,40,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_40,stir2_14may19_s40_alpha1.25
360,1.25,45,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_45,stir2_14may19_s45_alpha1.25
361,1.25,50,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_50,stir2_14may19_s50_alpha1.25
362,1.25,55,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_55,stir2_14may19_s55_alpha1.25
363,1.25,60,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_60,stir2_14may19_s60_alpha1.25
364,1.25,70,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_70,stir2_14may19_s70_alpha1.25
365,1.25,80,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_80,stir2_14may19_s80_alpha1.25
366,1.25,100,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_100,stir2_14may19_s100_alpha1.25
367,1.25,120,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.25/run_120,stir2_14may19_s120_alpha1.25
368,1.27,9.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.27/run_9.0,stir2_14may19_s9.0_alpha1.27
369,1.27,9.25,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.27/run_9.25,stir2_14may19_s9.25_alpha1.27
370,1.27,9.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.27/run_9.5,stir2_14may19_s9.5_alpha1.27
371,1.27,9.75,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.27/run_9.75,stir2_14may19_s9.75_alpha1.27
372,1.27,10.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.27/run_10.0,stir2_14may19_s10.0_alpha1.27
373,1.27,10.25,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.27/run_10.25,stir2_14may19_s10.25_alpha1.27
374,1.27,10.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.27/run_10.5,stir2_14may19_s10.5_alpha1.27
375,1.27,10.75,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.27/run_10.75,stir2_14may19_s10.75_alpha1.27
