set zams_mass xi1.75 xi2.5 ni56 ni56_error ni57 ni57_error ni58 ni58_error ti44 ti44_error
"Curtis+ 2019 (WHW02)" 19.2 0.6524132911905187 0.19417151381961306 0.104 0.0 0.0022 0 0.00126 0 6.19e-05 0.0
"Curtis+ 2019 (WHW02)" 19.4 0.5179703160920142 0.18725278618204946 0.107 0.0 0.00427 0 0.011 0 5.17e-05 0.0
"Curtis+ 2019 (WHW02)" 19.6 0.29565040226299555 0.11891362823020829 0.0356 0.0 0.000514 0 0.000274 0 1.85e-05 0.0
"Curtis+ 2019 (WHW02)" 19.8 0.34700484869871495 0.1363630306215562 0.069 0.0 0.00105 0 0.000437 0 3.18e-05 0.0
"Curtis+ 2019 (WHW02)" 20.0 0.29278405468287977 0.12688049786303315 0.0624 0.0 0.000935 0 0.000292 0 2.93e-05 0.0
"Curtis+ 2019 (WHW02)" 20.2 0.2500653500029654 0.10511869482880302 0.0306 0.0 0.000435 0 0.000156 0 1.61e-05 0.0
"Curtis+ 2019 (WHW02)" 20.4 0.5553751959882087 0.19478208241310221 0.0816 0.0 0.00134 0 0.000393 0 3.78e-05 0.0
"Curtis+ 2019 (WHW02)" 20.6 0.7643564117019258 0.28195086426486415 0.117 0.0 0.00208 0 0.000482 0 5.27e-05 0.0
"Curtis+ 2019 (WHW02)" 20.8 0.7505101611383562 0.274725185471132 0.113 0.0 0.00198 0 0.000508 0 5.04e-05 0.0
"Curtis+ 2019 (WHW02)" 21.0 0.6758052944910565 0.21526396207441145 0.135 0.0 0.00284 0 0.00185 0 6.14e-05 0.0
"Curtis+ 2019 (WHW02)" 21.2 0.6453987433718168 0.19128583484817044 0.115 0.0 0.0028 0 0.00306 0 5.99e-05 0.0
"Curtis+ 2019 (WHW02)" 21.4 0.4816856644596395 0.2286637640848782 0.111 0.0 0.00434 0 0.0112 0 4.56e-05 0.0
"Curtis+ 2019 (WHW02)" 21.6 0.46391468355266635 0.1806309567077729 0.0861 0.0 0.00131 0 0.000446 0 3.64e-05 0.0
